student_id,name,cpi,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8
S01,Aditya Verma,8.38,F04,F07,F08,F05,F02,F03,F06,F01
S02,Bhavna Joshi,8.55,F08,F03,F06,F07,F01,F04,F05,F02
S03,Chirag Mehta,6.55,F03,F06,F08,F04,F07,F02,F05,F01
S04,Divya Reddy,8.15,F05,F08,F06,F03,F04,F02,F07,F01
S05,Eshan Gupta,6.47,F05,F03,F02,F08,F04,F07,F01,F06
S06,Fatima Sheikh,8.22,F03,F07,F02,F08,F05,F04,F06,F01
S07,Gaurav Tiwari,7.98,F08,F04,F03,F07,F01,F02,F05,F06
S08,Harini Pillai,8.98,F05,F03,F06,F04,F01,F08,F07,F02
S09,Isha Nambiar,8.36,F01,F04,F05,F07,F08,F03,F02,F06
S10,Jayesh Pawar,8.66,F03,F04,F01,F07,F08,F06,F05,F02
S11,Kavya Krishnan,7.21,F07,F08,F05,F02,F01,F03,F06,F04
S12,Lakshmi Sundaram,7.31,F01,F04,F06,F07,F03,F05,F08,F02
S13,Manish Dubey,7.28,F01,F04,F06,F05,F07,F03,F02,F08
S14,Neha Saxena,8.86,F08,F06,F01,F02,F03,F04,F05,F07
S15,Om Prakash,5.91,F06,F04,F03,F05,F02,F08,F07,F01
S16,Pooja Bhat,8.18,F02,F01,F06,F03,F08,F05,F04,F07
S17,Qasim Ali,8.56,F04,F08,F01,F07,F03,F05,F06,F02
S18,Rashmi Desai,7.46,F04,F07,F05,F02,F03,F06,F01,F08
S19,Saurabh Kulkarni,9.42,F03,F04,F01,F02,F08,F06,F07,F05
S20,Tanvi Shinde,8.93,F06,F02,F07,F08,F04,F03,F05,F01
S21,Uday Srivastava,9.45,F03,F08,F04,F06,F07,F01,F02,F05
S22,Vandana Nair,9.17,F01,F08,F05,F07,F04,F06,F02,F03
S23,Wasim Khan,9.84,F01,F05,F02,F07,F08,F03,F06,F04
S24,Xenia D'Souza,6.04,F08,F05,F06,F02,F07,F03,F01,F04
