student_id,name,cpi,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8
S01,Aditya Verma,9.18,F03,F07,F05,F02,F04,F06,F08,F01
S02,Bhavna Joshi,8.76,F01,F05,F02,F07,F06,F03,F08,F04
S03,Chirag Mehta,8.16,F02,F04,F07,F03,F08,F05,F06,F01
S04,Divya Reddy,9.3,F04,F03,F05,F06,F08,F07,F02,F01
S05,Eshan Gupta,8.23,F02,F07,F01,F05,F03,F06,F08,F04
S06,Fatima Sheikh,8.33,F06,F02,F04,F03,F07,F08,F01,F05
S07,Gaurav Tiwari,9.43,F04,F07,F03,F01,F08,F06,F05,F02
S08,Harini Pillai,9.2,F06,F08,F04,F03,F01,F05,F07,F02
S09,Isha Nambiar,8.14,F05,F03,F02,F07,F08,F04,F01,F06
S10,Jayesh Pawar,9.66,F01,F06,F07,F08,F05,F02,F04,F03
S11,Kavya Krishnan,9.65,F04,F08,F06,F07,F01,F02,F03,F05
S12,Lakshmi Sundaram,9.14,F05,F02,F06,F08,F04,F01,F03,F07
S13,Manish Dubey,9.6,F02,F04,F08,F01,F07,F05,F03,F06
S14,Neha Saxena,9.44,F03,F01,F06,F07,F04,F02,F05,F08
S15,Om Prakash,8.44,F01,F08,F02,F07,F05,F06,F03,F04
S16,Pooja Bhat,9.49,F01,F05,F02,F07,F04,F08,F03,F06
S17,Qasim Ali,9.44,F04,F03,F07,F02,F05,F08,F01,F06
S18,Rashmi Desai,8.55,F08,F07,F04,F06,F03,F02,F01,F05
S19,Saurabh Kulkarni,9.42,F02,F05,F04,F07,F06,F01,F08,F03
S20,Tanvi Shinde,9.51,F06,F04,F08,F03,F05,F01,F07,F02
S21,Uday Srivastava,8.37,F06,F07,F02,F05,F08,F04,F03,F01
S22,Vandana Nair,9.26,F06,F04,F08,F03,F05,F07,F02,F01
S23,Wasim Khan,9.53,F01,F03,F02,F06,F08,F05,F07,F04
S24,Xenia D'Souza,9.98,F02,F03,F04,F06,F01,F07,F08,F05
